statcode_21,num_votes_wijk_21,gm_code_21,RW_wijk_21,PVV_wijk_21
WK015803,978,GM0158,0.2034764826175869,0.1114519427402863
WK015809,5465,GM0158,0.12955169258920401,0.08362305580969807
WK016001,528,GM0160,0.14393939393939395,0.06818181818181818
WK016004,2249,GM0160,0.20453534904401957,0.11605157847932414
WK016005,1937,GM0160,0.17707795560144554,0.10686628807434176
WK016008,1023,GM0160,0.3460410557184751,0.21896383186705767
WK016009,7227,GM0160,0.24076380240763803,0.13491075134910752
WK016012,2241,GM0160,0.1606425702811245,0.09727800089245872
WK016016,449,GM0160,0.17371937639198218,0.10467706013363029
WK016017,884,GM0160,0.27262443438914025,0.19796380090497737
WK016019,1442,GM0160,0.2780859916782247,0.17059639389736478
WK016020,793,GM0160,0.11475409836065574,0.05926860025220681
WK016021,425,GM0160,0.16470588235294117,0.08941176470588236
WK016024,611,GM0160,0.3060556464811784,0.14893617021276595
WK016025,793,GM0160,0.2459016393442623,0.17654476670870115
WK016026,1326,GM0160,0.2911010558069382,0.17043740573152338
WK016028,11756,GM0160,0.16212997618237496,0.09033684926845865
WK016029,706,GM0160,0.12889518413597734,0.0679886685552408
WK016301,2641,GM0163,0.1442635365391897,0.08746686861037486
WK016302,1030,GM0163,0.14466019417475728,0.06601941747572816
WK016303,7603,GM0163,0.1158753123766934,0.06918321715112456
WK016304,4413,GM0163,0.23612055291185136,0.14230682075685475
WK016305,1842,GM0163,0.1454940282301846,0.07600434310532031
WK016306,4503,GM0163,0.1632245169886742,0.08949589162780369
WK016307,1268,GM0163,0.12460567823343849,0.07176656151419558
WK016309,686,GM0163,0.21428571428571427,0.141399416909621
WK016400,9929,GM0164,0.11501661798771276,0.07422701178366402
WK016401,5608,GM0164,0.22699714693295292,0.13034950071326676
WK016402,3207,GM0164,0.24851886498285,0.12940442781415654
WK016403,7308,GM0164,0.18842364532019704,0.11056376573617953
WK016404,4703,GM0164,0.202423984690623,0.10971720178609398
WK016405,3318,GM0164,0.2543701024713683,0.15792646172393007
WK016406,6196,GM0164,0.2078760490639122,0.11830213040671402
WK016407,2300,GM0164,0.17173913043478262,0.09565217391304348
WK016408,5047,GM0164,0.15831186843669506,0.08460471567267684
WK016409,1752,GM0164,0.20034246575342465,0.10559360730593607
WK016600,20766,GM0166,0.222334585379948,0.12636039680246558
WK016603,7060,GM0166,0.1643059490084986,0.0886685552407932
WK016604,509,GM0166,0.0962671905697446,0.04518664047151277
WK016605,601,GM0166,0.1447587354409318,0.09816971713810316
WK016606,1241,GM0166,0.1506849315068493,0.07332796132151491
WK016607,541,GM0166,0.12014787430683918,0.031423290203327174
WK016608,569,GM0166,0.13005272407732865,0.06678383128295255
WK016800,7804,GM0168,0.24551512045105076,0.1587647360328037
WK016801,328,GM0168,0.3201219512195122,0.17073170731707318
WK016802,2089,GM0168,0.3446625179511728,0.2407850646242221
WK016803,2242,GM0168,0.1975914362176628,0.13247100802854594
WK016804,638,GM0168,0.14890282131661442,0.07523510971786834
WK017301,6406,GM0173,0.15391820168591944,0.09865750858570091
WK017302,759,GM0173,0.12648221343873517,0.07378129117259552
WK017303,955,GM0173,0.22827225130890053,0.12670157068062826
WK017304,702,GM0173,0.18945868945868946,0.1339031339031339
WK017305,898,GM0173,0.11915367483296214,0.0645879732739421
WK017306,1867,GM0173,0.24209962506695232,0.1542581681842528
WK017310,742,GM0173,0.19002695417789758,0.09299191374663072
WK017311,2711,GM0173,0.2559940981187754,0.16193286610106972
WK017312,3456,GM0173,0.16145833333333334,0.10243055555555555
WK017313,2129,GM0173,0.19868482855800845,0.11085016439643025
WK017501,7405,GM0175,0.15908170155300472,0.08642808912896692
WK017504,725,GM0175,0.1986206896551724,0.15172413793103448
WK017507,980,GM0175,0.16326530612244897,0.10714285714285714
WK017508,681,GM0175,0.13362701908957417,0.07195301027900147
WK017511,731,GM0175,0.15047879616963064,0.08618331053351573
WK017701,13492,GM0177,0.12273940112659354,0.07196857396975986
WK017702,1461,GM0177,0.1300479123887748,0.07049965776865161
WK017703,984,GM0177,0.13617886178861788,0.05894308943089431
WK017704,761,GM0177,0.09461235216819974,0.045992115637319315
WK017705,2264,GM0177,0.10379858657243816,0.053886925795053005
WK017706,838,GM0177,0.09188544152744631,0.041766109785202864
WK017707,4329,GM0177,0.13005313005313004,0.06814506814506814
WK017708,361,GM0177,0.15512465373961218,0.0664819944598338
WK017709,440,GM0177,0.09772727272727273,0.04318181818181818
WK018000,6288,GM0180,0.21151399491094147,0.09351145038167939
WK018001,2232,GM0180,0.128584229390681,0.05510752688172043
WK018003,1121,GM0180,0.20071364852809992,0.05976806422836753
WK018004,983,GM0180,0.18006103763987794,0.09460834181078331
WK018005,691,GM0180,0.17510853835021709,0.06801736613603473
WK018300,5096,GM0183,0.14462323390894818,0.09595761381475668
WK018301,2295,GM0183,0.19869281045751633,0.10326797385620914
WK018302,1174,GM0183,0.206984667802385,0.13713798977853492
WK018303,2569,GM0183,0.18606461658232776,0.11677695601401324
WK018304,756,GM0183,0.16534391534391535,0.11375661375661375
